Day,Susceptible,Infected,Recovered,Beta,Gamma
1,990,10,0,0.3,0.1
2,987,12,1,0.3,0.1
3,983,14,2,0.3,0.1
4,979,17,4,0.3,0.1
5,974,20,5,0.3,0.1
6,968,24,7,0.3,0.1
7,961,29,10,0.3,0.1
8,953,34,13,0.3,0.1
9,943,41,16,0.3,0.1
10,931,48,20,0.3,0.1
11,918,57,25,0.3,0.1
12,902,67,31,0.3,0.1
13,884,78,37,0.3,0.1
14,863,91,45,0.3,0.1
15,840,106,54,0.3,0.1
16,813,122,65,0.3,0.1
17,783,140,77,0.3,0.1
18,750,158,91,0.3,0.1
19,715,178,107,0.3,0.1
20,677,199,125,0.3,0.1
21,636,219,145,0.3,0.1
22,594,239,167,0.3,0.1
23,552,258,191,0.3,0.1
24,509,275,216,0.3,0.1
25,467,289,244,0.3,0.1
26,427,301,273,0.3,0.1
27,388,309,303,0.3,0.1
28,352,314,334,0.3,0.1
29,319,316,365,0.3,0.1
30,289,315,397,0.3,0.1
31,262,310,428,0.3,0.1
32,237,304,459,0.3,0.1
33,216,295,490,0.3,0.1
34,196,285,519,0.3,0.1
35,180,273,547,0.3,0.1
36,165,260,575,0.3,0.1
37,152,247,601,0.3,0.1
38,141,234,625,0.3,0.1
39,131,220,649,0.3,0.1
40,122,207,671,0.3,0.1
41,115,194,692,0.3,0.1
42,108,181,711,0.3,0.1
43,102,169,729,0.3,0.1
44,97,157,746,0.3,0.1
45,92,146,762,0.3,0.1
46,88,135,776,0.3,0.1
47,85,125,790,0.3,0.1
48,82,116,802,0.3,0.1
49,79,107,814,0.3,0.1
50,76,99,825,0.3,0.1
